x,Curve1
0.1,0.0294
0.1143,0.0296
0.2,0.0304
0.3,0.0311
0.4,0.0314
0.5,0.0313
0.6,0.031
0.7,0.0305
0.8,0.0298
0.9,0.029
1,0.0281
1.1,0.0273
1.2,0.0264
1.3,0.0256
1.4,0.0248
1.5,0.0241
1.6,0.0235
1.7,0.023
1.8,0.0227
1.9,0.0226
2,0.0227
2.1,0.0232
2.2,0.024
2.3,0.0255
2.4,0.0278
2.5,0.0308
2.6,0.0349
2.7,0.0402
2.8,0.0467
2.9,0.0531
3,0.0521
3.1,0.023
3.2,-0.0359
3.3,-0.0795
3.4,-0.0816
3.5,-0.038
3.6,0.0408
3.7,0.1525
3.8,0.3105
3.9,1.3312
4,1.3698
4.1,1.3171
4.2,1.2466
4.3,1.1709
4.4,1.0978
4.5,1.0457
4.6,1.8345
4.7,1.9137
4.8,1.963
4.9,1.9942
5,2.0113
5.1,2.0158
5.2,2.0076
5.3,1.9855
5.4,1.9469
5.5,1.8862
5.6,1.7911
5.7,1.6297
5.8,1.3233
5.9,0.4667
6,0.1095
6.1,0.1051
6.2,0.1471
6.3,0.1732
6.4,0.1763
6.5,0.1591
6.6,0.1208
6.7,0.0708
6.8,0.0407
6.9,0.0394
7,0.0572
7.1,0.0822
7.2,0.1078
7.3,0.1288
7.4,0.1375
7.5,0.1184
7.6,0.0752
7.7,0.0635
7.8,0.1236
7.9,0.2267
8,0.3489
8.1,0.4786
8.2,0.6074
8.3,0.724
8.4,0.8144
8.5,0.8706
8.6,0.892
8.7,0.8834
8.8,0.8539
8.9,0.8093
9,0.7525
9.1,0.6843
9.2,0.6021
9.3,0.5092
9.4,0.4772
9.5,0.5145
9.6,0.5723
9.7,0.633
9.8,0.6906
9.9,0.7415
10,0.7823
10.1,0.8094
10.2,0.8195
10.3,0.8139
10.4,0.7943
10.5,0.7618
10.6,0.7179
10.7,0.6652
10.8,0.6191
10.9,0.5892
11,0.564
11.1,0.5438
11.2,0.5297
11.3,0.5229
11.4,0.5255
11.5,0.5411
11.6,0.5716
11.7,0.6146
11.8,0.6653
11.9,0.7161
12,0.7558
12.1,0.7738
12.2,0.7689
12.3,0.7413
12.4,0.6927
12.5,0.6231
12.6,0.5212
12.7,0.3662
12.8,0.3449
12.9,0.3555
13,0.3745
13.1,0.396
13.2,0.418
13.3,0.4392
13.4,0.4587
13.5,0.4757
13.6,0.4893
13.7,0.4983
13.8,0.5013
13.9,0.4975
14,0.4878
14.1,0.4731
14.2,0.4549
14.3,0.4353
14.4,0.4164
14.5,0.4009
14.6,0.3911
14.7,0.3873
14.8,0.3878
14.9,0.3907
15,0.3946
15.1,0.3979
15.2,0.3995
15.3,0.3983
15.4,0.3933
15.5,0.3845
15.6,0.3726
15.7,0.3584
15.8,0.3424
15.9,0.3251
16,0.3071
16.1,0.2892
16.2,0.2724
16.3,0.2587
16.4,0.2502
16.5,0.2481
16.6,0.2515
16.7,0.2578
16.8,0.2652
16.9,0.2727
17,0.2799
17.1,0.2865
17.2,0.2923
17.3,0.2972
17.4,0.3009
17.5,0.3032
17.6,0.3036
17.7,0.3015
17.8,0.296
17.9,0.2859
18,0.2703
18.1,0.248
18.2,0.2172
18.3,0.1737
18.4,0.1094
18.5,0.0932
18.6,0.1052
18.7,0.1225
18.8,0.1424
18.9,0.1645
19,0.1889
19.1,0.2167
19.2,0.2473
19.3,0.2734
19.4,0.2853
19.5,0.2837
19.6,0.275
19.7,0.2628
19.8,0.2489
19.9,0.2343
20,0.2197
20.1,0.2052
20.2,0.191
20.3,0.1775
20.4,0.1646
20.5,0.1527
20.6,0.142
20.7,0.133
20.8,0.1264
20.9,0.1232
21,0.1243
21.1,0.1306
21.2,0.1437
21.3,0.1654
21.4,0.19
21.5,0.2011
21.6,0.1976
21.7,0.1868
21.8,0.1726
21.9,0.1568
22,0.1402
22.1,0.1238
22.2,0.1088
22.3,0.097
22.4,0.0907
22.5,0.0917
22.6,0.1009
22.7,0.1164
22.8,0.1343
22.9,0.1515
23,0.1655
23.1,0.1743
23.2,0.1769
23.3,0.1743
23.4,0.1682
23.5,0.1599
23.6,0.1505
23.7,0.1409
23.8,0.1317
23.9,0.1235
24,0.1163
24.1,0.11
24.2,0.1045
24.3,0.0999
24.4,0.0962
24.5,0.0933
24.6,0.0913
24.7,0.0903
24.8,0.0903
24.9,0.0913
25,0.0931
25.1,0.0956
25.2,0.0986
25.3,0.102
25.4,0.1054
25.5,0.1086
25.6,0.1112
25.7,0.1129
25.8,0.1137
25.9,0.1137
26,0.113
26.1,0.1118
26.2,0.1104
26.3,0.1089
26.4,0.1073
26.5,0.1052
26.6,0.1027
26.7,0.0994
26.8,0.0947
26.9,0.0871
27,0.0762
27.1,0.0706
27.2,0.0729
27.3,0.0793
27.4,0.0878
27.5,0.097
27.6,0.1064
27.7,0.1158
27.8,0.1247
27.9,0.1329
28,0.1402
28.1,0.1461
28.2,0.1498
28.3,0.1499
28.4,0.1445
28.5,0.1325
28.6,0.1152
28.7,0.0983
28.8,0.0874
28.9,0.0837
29,0.0849
29.1,0.0887
29.2,0.0938
29.3,0.0997
29.4,0.1057
29.5,0.1113
29.6,0.1157
29.7,0.1181
29.8,0.1173
29.9,0.1134
30,0.1075
30.1,0.1015
30.2,0.0976
30.3,0.0968
30.4,0.0996
30.5,0.1052
30.6,0.1125
30.7,0.1207
30.8,0.129
30.9,0.1372
31,0.1447
31.1,0.151
31.2,0.1557
31.3,0.158
31.4,0.1571
31.5,0.1524
31.6,0.1442
31.7,0.1334
31.8,0.121
31.9,0.109
32,0.1005
32.1,0.1003
32.2,0.1111
32.3,0.1275
32.4,0.1431
32.5,0.1549
32.6,0.1621
32.7,0.165
32.8,0.1643
32.9,0.1608
33,0.1554
33.1,0.1486
33.2,0.1408
33.3,0.1322
33.4,0.123
33.5,0.1132
33.6,0.1031
33.7,0.0928
33.8,0.0825
33.9,0.0724
34,0.0635
34.1,0.0586
34.2,0.065
34.3,0.0734
34.4,0.0781
34.5,0.0806
34.6,0.0818
34.7,0.0823
34.8,0.0823
34.9,0.0821
35,0.0818
35.1,0.0813
35.2,0.0808
35.3,0.0803
35.4,0.0798
35.5,0.0793
35.6,0.0789
35.7,0.0787
35.8,0.0786
35.9,0.0787
36,0.0791
36.1,0.0799
36.2,0.0812
36.3,0.0832
36.4,0.0858
36.5,0.0892
36.6,0.0933
36.7,0.0979
36.8,0.1028
36.9,0.1072
37,0.1093
37.1,0.1066
37.2,0.0972
37.3,0.0832
37.4,0.0676
37.5,0.0535
37.6,0.044
37.7,0.0407
37.8,0.043
37.9,0.0485
38,0.0554
38.1,0.0627
38.2,0.0696
38.3,0.0757
38.4,0.0806
38.5,0.0845
38.6,0.0873
38.7,0.0894
38.8,0.0909
38.9,0.0919
39,0.0924
39.1,0.0926
39.2,0.0924
39.3,0.0919
39.4,0.0911
39.5,0.0901
39.6,0.0889
39.7,0.0874
39.8,0.0857
39.9,0.0838
40,0.0816
40.1,0.0791
40.2,0.0764
40.3,0.0735
40.4,0.0704
40.4405,0.0691
